,N. parvum,X. sp.,descriptions
IPR037459,3,2,Rhamnogalacturonan acetylesterase RhgT-like
IPR000304,2,1,Pyrroline-5-carboxylate reductase
IPR028939,2,3,"Pyrroline-5-carboxylate reductase, catalytic, N-terminal"
IPR029036,2,1,"Pyrroline-5-carboxylate reductase, dimerisation domain"
IPR006569,6,6,CID domain
IPR008942,13,14,ENTH/VHS
IPR024637,1,1,"CTD kinase subunit gamma Ctk3, C-terminal"
IPR024638,1,1,"CTD kinase subunit gamma Ctk3, N-terminal"
IPR042326,1,1,CTD kinase subunit gamma
IPR000206,1,1,Ribosomal protein L7/L12
IPR008932,1,1,"Ribosomal protein L7/L12, oligomerisation"
IPR013823,1,1,"Ribosomal protein L7/L12, C-terminal"
IPR014719,1,1,"Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like"
IPR036235,1,1,"Ribosomal protein L7/L12, oligomerisation domain superfamily"
IPR002035,6,8,"von Willebrand factor, type A"
IPR011704,1,1,"ATPase, dynein-related, AAA domain"
IPR012099,1,1,Midasin
IPR036465,14,16,von Willebrand factor A-like domain superfamily
IPR040848,1,1,"Midasin, AAA lid domain 7"
IPR041190,1,1,Midasin AAA lid domain 5
IPR008928,40,45,Six-hairpin glycosidase superfamily
IPR010905,4,3,"Glycosyl hydrolase, family 88"
IPR000719,110,155,Protein kinase domain
IPR008271,85,90,"Serine/threonine-protein kinase, active site"
IPR019626,2,0,"Stress-induced protein, KGG, repeat"
IPR034001,7,3,"ATP-binding cassette transporter, PDR-like subfamily G, domain 1"
IPR001806,24,27,Small GTPase
IPR020849,6,7,"Small GTPase, Ras-type"
IPR004843,19,25,"Calcineurin-like phosphoesterase domain, ApaH type"
IPR029052,28,31,Metallo-dependent phosphatase-like
IPR008253,4,3,Marvel domain
IPR002420,1,1,C2 phosphatidylinositol 3-kinase-type domain
IPR008290,1,1,"Phosphatidylinositol 3-kinase, Vps34 type"
IPR035892,14,18,C2 domain superfamily
IPR042236,2,2,"Phosphoinositide 3-kinase, accessory (PIK) domain superfamily"
IPR014854,1,1,"Non-structural maintenance of chromosome element 4, C-terminal"
IPR027786,1,1,Nse4/EID family
IPR029225,1,1,"Nse4/EID protein, Nse3/MAGE-binding domain"
IPR006973,2,1,Pre-mRNA-splicing factor Cwf15/Cwc15
IPR001247,4,6,"Exoribonuclease, phosphorolytic domain 1"
IPR015847,1,1,"Exoribonuclease, phosphorolytic domain 2"
IPR020568,27,25,Ribosomal protein S5 domain 2-type fold
IPR027408,4,6,PNPase/RNase PH domain superfamily
IPR033100,1,1,Exosome complex component RRP45
IPR036345,3,5,"Exoribonuclease, PH domain 2 superfamily"
IPR025638,1,1,Protein of unknown function DUF4336
IPR036866,21,18,Ribonuclease Z/Hydroxyacylglutathione hydrolase-like
IPR019384,1,1,FHF complex subunit HOOK interacting protein
IPR045669,1,1,"FHF complex subunit HOOK-interacting protein, C-terminal"
IPR001461,20,14,Aspartic peptidase A1 family
IPR001969,10,11,"Aspartic peptidase, active site"
IPR021109,30,21,Aspartic peptidase domain superfamily
IPR033121,22,18,Peptidase family A1 domain
IPR034163,6,4,Aspergillopepsin-like catalytic domain
IPR004294,5,2,Carotenoid oxygenase
IPR011333,38,16,SKP1/BTB/POZ domain superfamily
IPR005037,1,1,Pre-mRNA-splicing factor 38
IPR029044,40,41,Nucleotide-diphospho-sugar transferases
IPR000961,10,9,"AGC-kinase, C-terminal"
IPR017441,60,71,"Protein kinase, ATP binding site"
IPR002921,6,3,Fungal lipase-like domain
IPR004841,26,13,Amino acid permease/ SLC12A domain
IPR018838,1,1,Domain of unknown function DUF2439
IPR001452,19,18,SH3 domain
IPR004148,6,5,BAR domain
IPR027267,20,20,AH/BAR domain superfamily
IPR036028,21,20,SH3-like domain superfamily
IPR046982,2,2,Bridging integrator 3/RVS161-like
IPR013783,39,42,Immunoglobulin-like fold
IPR014756,22,17,Immunoglobulin E-set
IPR002110,51,130,Ankyrin repeat
IPR025676,5,16,Clr5 domain
IPR036770,63,139,Ankyrin repeat-containing domain superfamily
IPR013083,80,63,"Zinc finger, RING/FYVE/PHD-type"
IPR039535,6,3,Arylsulfotransferase-like
IPR001680,99,98,WD40 repeat
IPR015048,1,0,Domain of unknown function DUF1899
IPR015505,1,0,Coronin
IPR015943,138,135,WD40/YVTN repeat-like-containing domain superfamily
IPR019775,50,53,"WD40 repeat, conserved site"
IPR020472,34,36,G-protein beta WD-40 repeat
IPR036322,118,112,WD40-repeat-containing domain superfamily
IPR011683,2,2,Glycosyl hydrolase family 53
IPR017853,117,106,Glycoside hydrolase superfamily
IPR005103,12,19,Auxiliary Activity family 9
IPR001810,38,35,F-box domain
IPR036047,40,34,F-box-like domain superfamily
IPR018108,33,36,Mitochondrial substrate/solute carrier
IPR023395,34,37,Mitochondrial carrier domain superfamily
IPR044677,2,6,Mitochondrial phosphate carrier protein Pic2/Mir1-like
IPR002634,3,3,BolA protein
IPR036065,3,3,BolA-like superfamily
IPR005036,1,1,CBM21 (carbohydrate binding type-21) domain
IPR038175,1,1,CBM21 domain superfamily
IPR007905,2,2,Emopamil-binding protein
IPR033118,2,2,EXPERA domain
IPR001841,43,33,"Zinc finger, RING-type"
IPR017907,19,17,"Zinc finger, RING-type, conserved site"
IPR018957,5,2,"Zinc finger, C3HC4 RING-type"
IPR023631,21,21,Amidase signature domain
IPR036928,22,23,Amidase signature (AS) superfamily
IPR007269,1,1,Isoprenylcysteine carboxyl methyltransferase
IPR025770,1,1,Protein-S-isoprenylcysteine O-methyltransferase
IPR001451,4,5,Hexapeptide repeat
IPR011004,6,8,Trimeric LpxA-like superfamily
IPR018357,3,3,"Hexapeptide transferase, conserved site"
IPR024688,2,2,Maltose/galactoside acetyltransferase
IPR011989,86,80,Armadillo-like helical
IPR016441,1,1,TEL2-interacting protein 1
IPR039776,1,1,Sister chromatid cohesion protein Pds5
IPR000872,1,0,Tafazzin
IPR002123,8,3,Phospholipid/glycerol acyltransferase
IPR016818,1,0,Nitric oxide synthase-interacting protein
IPR027370,3,3,"Zinc finger, RING-type, eukaryotic"
IPR031790,1,0,"Nitric oxide synthase-interacting protein, zinc-finger"
IPR003958,4,4,Transcription factor CBF/NF-Y/archaeal histone domain
IPR009072,26,22,Histone-fold
IPR001604,1,1,DNA/RNA non-specific endonuclease
IPR018524,1,1,"DNA/RNA non-specific endonuclease, active site"
IPR020821,1,1,"Extracellular Endonuclease, subunit A"
IPR040255,1,1,Non-specific endonuclease
IPR044925,1,1,His-Me finger superfamily
IPR044929,1,1,DNA/RNA non-specific endonuclease superfamily
IPR004217,4,4,Tim10-like
IPR035427,4,4,Tim10-like domain superfamily
IPR005052,2,1,Legume-like lectin
IPR013320,41,45,Concanavalin A-like lectin/glucanase domain superfamily
IPR013243,1,1,SCA7 domain
IPR037804,1,0,SAGA-associated factor 73
IPR013136,1,1,WSTF/Acf1/Cbp146
IPR018501,1,1,DDT domain
IPR028941,1,1,WHIM2 domain
IPR004856,2,2,"Glycosyl transferase, ALG6/ALG8"
IPR000504,60,55,RNA recognition motif domain
IPR012677,70,62,Nucleotide-binding alpha-beta plait domain superfamily
IPR018835,1,1,"RNA-binding domain, putative"
IPR034195,1,1,"Mrn1, RNA recognition motif 1"
IPR035979,71,64,RNA-binding domain superfamily
IPR039171,3,2,Pre-mRNA-splicing factor Cwc2/Slt11
IPR001650,63,62,"Helicase, C-terminal"
IPR011545,37,37,DEAD/DEAH box helicase domain
IPR014001,62,66,"Helicase superfamily 1/2, ATP-binding domain"
IPR001849,24,20,Pleckstrin homology domain
IPR011993,41,37,PH-like domain superfamily
IPR012966,1,0,Anillin homology domain
IPR001214,14,21,SET domain
IPR025783,1,1,"Histone-lysine N-methyltransferase Set9, fungi"
IPR039977,1,1,Histone-lysine N-methyltransferase Suv4-20/Set9
IPR041938,1,1,"Histone-lysine N-methyltransferase, N-terminal domain"
IPR046341,14,23,SET domain superfamily
IPR000218,2,2,Ribosomal protein L14P
IPR005745,1,1,"Ribosomal protein L14P, bacterial-type"
IPR019972,2,2,"Ribosomal protein L14P, conserved site"
IPR036853,2,2,Ribosomal protein L14 superfamily
IPR001529,1,2,"DNA-directed RNA polymerase, M/15kDa subunit"
IPR012164,3,2,DNA-directed RNA polymerase subunit/transcription factor S
IPR017946,14,15,"PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily"
IPR000297,2,1,"Peptidyl-prolyl cis-trans isomerase, PpiC-type"
IPR001202,9,8,WW domain
IPR036020,9,8,WW domain superfamily
IPR046357,6,3,Peptidyl-prolyl cis-trans isomerase domain superfamily
IPR013241,1,0,"RNase P, subunit Pop3"
IPR001394,15,10,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase"
IPR018200,11,9,"Ubiquitin specific protease, conserved site"
IPR021905,1,0,Domain of unknown function DUF3517
IPR028889,15,11,Ubiquitin specific protease domain
IPR038765,47,31,Papain-like cysteine peptidase superfamily
IPR013698,1,0,Squalene epoxidase
IPR040125,1,0,Squalene monooxygenase
IPR000086,12,16,NUDIX hydrolase domain
IPR015797,14,18,NUDIX hydrolase-like domain superfamily
IPR020084,3,4,"NUDIX hydrolase, conserved site"
IPR020476,1,2,NUDIX hydrolase
IPR004468,1,0,CTP synthase
IPR017456,1,0,"CTP synthase, N-terminal"
IPR017926,8,7,Glutamine amidotransferase
IPR029062,16,19,Class I glutamine amidotransferase-like
IPR033828,1,0,CTP synthase GATase domain
IPR021740,3,3,Velvet factor
IPR037525,4,3,Velvet domain
IPR038491,4,3,Velvet domain superfamily
IPR001406,2,2,"Pseudouridine synthase I, TruA"
IPR020094,2,2,"Pseudouridine synthase TruA/RsuA/RluB/E/F, N-terminal"
IPR020095,2,2,"Pseudouridine synthase I, TruA, C-terminal"
IPR020097,2,2,"Pseudouridine synthase I, TruA, alpha/beta domain"
IPR020103,5,5,"Pseudouridine synthase, catalytic domain superfamily"
IPR002853,1,1,"Transcription initiation factor IIE subunit alpha, N-terminal"
IPR017919,1,1,Transcription factor TFE/TFIIEalpha HTH domain
IPR024550,1,1,TFIIEalpha/SarR/Rpc3 HTH domain
IPR039997,1,1,Transcription factor E
IPR011990,84,101,Tetratricopeptide-like helical domain superfamily
IPR013699,1,1,"Signal recognition particle, SRP72 subunit, RNA-binding"
IPR026270,1,1,"Signal recognition particle, SRP72 subunit"
IPR031545,1,1,Putative TPR-like repeat
IPR000612,3,0,Proteolipid membrane potential modulator
IPR019442,1,1,"THADA/TRM732, DUF2428"
IPR005681,1,0,"Mitochondrial inner membrane translocase complex, subunit Tim23"
IPR045238,1,1,Tim23-like
IPR001611,14,11,Leucine-rich repeat
IPR003591,8,7,"Leucine-rich repeat, typical subtype"
IPR025875,1,3,Leucine rich repeat 4
IPR032675,39,27,Leucine-rich repeat domain superfamily
IPR004274,4,4,FCP1 homology domain
IPR011948,2,2,"Dullard phosphatase domain, eukaryotic"
IPR023214,51,45,HAD superfamily
IPR036412,53,48,HAD-like superfamily
IPR000581,3,4,Dihydroxy-acid/6-phosphogluconate dehydratase
IPR004404,2,1,Dihydroxy-acid dehydratase
IPR020558,3,4,"Dihydroxy-acid/6-phosphogluconate dehydratase, conserved site"
IPR037237,3,4,"IlvD/EDD, N-terminal domain"
IPR042096,3,4,"Dihydroxy-acid dehydratase, C-terminal"
IPR001752,9,13,Kinesin motor domain
IPR019821,8,9,"Kinesin motor domain, conserved site"
IPR027640,8,11,Kinesin-like protein
IPR036961,14,18,Kinesin motor domain superfamily
IPR009784,1,1,Protein of unknown function DUF1349
IPR000073,56,52,Alpha/beta hydrolase fold-1
IPR008220,3,3,Homoserine/serine acetyltransferase MetX-like
IPR009332,1,1,Mediator of RNA polymerase II transcription subunit 22
IPR002735,2,2,Translation initiation factor IF2/IF5 domain
IPR003307,2,2,W2 domain
IPR016189,2,2,"Translation initiation factor IF2/IF5, N-terminal"
IPR016190,2,2,"Translation initiation factor IF2/IF5, zinc-binding"
IPR045196,2,2,Translation initiation factor IF2/IF5
IPR006076,23,17,FAD dependent oxidoreductase
IPR023209,5,3,D-amino-acid oxidase
IPR001757,17,18,P-type ATPase
IPR006539,4,2,"P-type ATPase, subfamily IV"
IPR008250,18,18,"P-type ATPase, A domain superfamily"
IPR018303,18,17,"P-type ATPase, phosphorylation site"
IPR023298,17,19,"P-type ATPase, transmembrane domain superfamily"
IPR023299,18,17,"P-type ATPase, cytoplasmic domain N"
IPR032630,4,2,"P-type ATPase, C-terminal"
IPR032631,4,2,"P-type ATPase, N-terminal"
IPR044492,16,17,"P-type ATPase, haloacid dehalogenase domain"
IPR006311,3,0,"Twin-arginine translocation pathway, signal sequence"
IPR021757,1,0,"Ribosomal protein L46, N-terminal"
IPR040008,1,0,"39S ribosomal protein L46, mitochondrial"
IPR003689,5,5,Zinc/iron permease
IPR045891,1,0,Zinc transporter ZIP9
IPR016181,43,60,Acyl-CoA N-acyltransferase
IPR017380,1,1,"Histone acetyltransferase type B, catalytic subunit"
IPR019467,1,1,Histone acetyl transferase HAT1 N-terminal
IPR037113,1,1,"Histone acetyl transferase 1, N-terminal domain superfamily"
IPR001017,3,3,"Dehydrogenase, E1 component"
IPR017597,1,1,"Pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit, subgroup y"
IPR029061,15,11,Thiamin diphosphate-binding fold
IPR000417,1,1,Hydroxyethylthiazole kinase
IPR013785,82,66,Aldolase-type TIM barrel
IPR022998,1,1,Thiamine phosphate synthase/TenI
IPR029056,8,13,Ribokinase-like
IPR034291,1,1,Thiamine phosphate synthase
IPR036206,1,1,Thiamin phosphate synthase superfamily
IPR019334,1,0,Transmembrane protein 170
IPR000834,3,5,"Peptidase M14, carboxypeptidase A"
IPR000904,4,4,Sec7 domain
IPR023394,4,4,"Sec7, C-terminal domain superfamily"
IPR035999,4,4,Sec7 domain superfamily
IPR002108,5,5,Actin-depolymerising factor homology domain
IPR028458,1,1,Twinfilin
IPR029006,9,9,ADF-H/Gelsolin-like domain superfamily
IPR001094,4,3,Flavodoxin-like
IPR001433,8,15,Oxidoreductase FAD/NAD(P)-binding
IPR001709,5,12,Flavoprotein pyridine nucleotide cytochrome reductase
IPR003097,5,5,"Sulfite reductase [NADPH] flavoprotein alpha-component-like, FAD-binding"
IPR008254,8,5,Flavodoxin/nitric oxide synthase
IPR017927,21,27,"FAD-binding domain, ferredoxin reductase-type"
IPR017938,19,24,Riboflavin synthase-like beta-barrel
IPR023173,5,6,"NADPH-cytochrome p450 reductase, FAD-binding, alpha-helical domain superfamily"
IPR028879,1,0,NADPH-dependent diflavin oxidoreductase 1
IPR029039,8,7,Flavoprotein-like superfamily
IPR039261,23,31,"Ferredoxin-NADP reductase (FNR), nucleotide-binding domain"
IPR000640,6,3,"Elongation factor EFG, domain V-like"
IPR000795,15,12,Translational (tr)-type GTP-binding domain
IPR004161,10,6,"Translation elongation factor EFTu-like, domain 2"
IPR005225,33,33,Small GTP-binding protein domain
IPR009000,22,17,"Translation protein, beta-barrel domain superfamily"
IPR009022,2,1,"Elongation factor G, domain III"
IPR030851,1,0,"Ribosome-releasing factor 2, mitochondrial"
IPR031157,7,5,"Tr-type G domain, conserved site"
IPR035647,6,3,EF-G domain III/V-like
IPR035649,2,1,"EFG, domain V"
IPR041095,5,3,"Elongation Factor G, domain II"
IPR001683,12,13,Phox homology
IPR014461,1,1,"Vacuolar protein sorting-associated protein 17, Vps17"
IPR015404,3,3,"Sorting nexin/Vps5-like, C-terminal"
IPR036871,14,15,PX domain superfamily
IPR037907,1,1,"Vps17, PX domain"
IPR002403,38,44,"Cytochrome P450, E-class, group IV"
IPR021047,2,0,"Mannosyltransferase 1, CMT1"
IPR001020,1,0,"Phosphotransferase system, HPr histidine phosphorylation site"
IPR009262,1,1,Solute carrier family 35 member SLC35F1/F2/F6
IPR006887,1,1,"Serine/threonine-protein phosphatase 4 regulatory subunit 3-like, central domain"
IPR003819,14,13,TauD/TfdA-like domain
IPR042098,15,13,Taurine dioxygenase TauD-like superfamily
IPR011118,8,8,Tannase/feruloyl esterase
IPR011058,2,3,Cyanovirin-N
IPR036673,2,4,Cyanovirin-N superfamily
IPR045017,2,1,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]"
IPR002889,7,7,Carbohydrate-binding WSC
IPR000594,8,9,THIF-type NAD/FAD binding fold
IPR035985,8,9,Ubiquitin-activating enzyme
IPR045886,8,9,ThiF/MoeB/HesA family
IPR001357,16,12,BRCT domain
IPR002008,2,2,"DNA polymerase family X, beta-like"
IPR002054,2,2,DNA-directed DNA polymerase X
IPR010996,2,2,"DNA polymerase beta-like, N-terminal domain"
IPR018944,2,2,"DNA polymerase lambda, fingers domain"
IPR022312,2,2,DNA polymerase family X
IPR027421,2,3,DNA polymerase lambda lyase domain superfamily
IPR028207,2,2,"DNA polymerase beta, palm domain"
IPR029398,2,2,"DNA polymerase beta, thumb domain"
IPR037160,2,2,"DNA polymerase, thumb domain superfamily"
IPR043519,10,11,Nucleotidyltransferase superfamily
IPR021848,5,2,"Haem-dependent oxidative N-demethylase, alpha subunit-like"
IPR011032,78,74,GroES-like superfamily
IPR013149,55,49,"Alcohol dehydrogenase-like, C-terminal"
IPR013154,54,42,"Alcohol dehydrogenase-like, N-terminal"
IPR020843,58,60,"Polyketide synthase, enoylreductase domain"
IPR047122,13,15,Trans-enoyl reductase-like
IPR000555,7,7,JAB1/MPN/MOV34 metalloenzyme domain
IPR024969,4,4,"Rpn11/EIF3F, C-terminal"
IPR033859,1,1,COP9 signalosome subunit 6
IPR002328,25,16,"Alcohol dehydrogenase, zinc-type, conserved site"
IPR045306,8,5,Sorbitol dehydrogenase-like
IPR000639,17,9,Epoxide hydrolase-like
IPR006786,1,0,Pinin/SDK/MemA protein
IPR039853,1,0,Pinin
IPR005345,1,0,PHF5-like
IPR007941,3,4,Protein of unknown function DUF726
IPR006615,1,1,"Peptidase C19, ubiquitin-specific peptidase, DUSP domain"
IPR035927,1,1,DUSP-like superfamily
IPR018800,1,0,Proline-rich protein PRCC
IPR008828,1,0,TORC2 component Sin1/Avo1
IPR031313,1,0,"SAPK-interacting protein 1, Pleckstrin-homology domain"
IPR031567,1,0,"Sin1, middle CRIM domain"
IPR002423,10,10,Chaperonin Cpn60/GroEL/TCP-1 family
IPR012721,1,1,"T-complex protein 1, theta subunit"
IPR017998,8,9,Chaperone tailless complex polypeptide 1 (TCP-1)
IPR027409,10,10,GroEL-like apical domain superfamily
IPR027410,9,9,TCP-1-like chaperonin intermediate domain superfamily
IPR027413,9,9,GroEL-like equatorial domain superfamily
IPR024774,2,0,"Pleckstrin homology domain, Mcp5-type"
IPR008949,13,27,Isoprenoid synthase domain superfamily
IPR000571,15,16,"Zinc finger, CCCH-type"
IPR036855,8,10,"Zinc finger, CCCH-type superfamily"
IPR039971,1,0,Pre-mRNA-splicing factor CWC24-like
IPR006674,3,2,HD domain
IPR017771,1,0,Cyanamide hydratase
IPR011600,5,4,"Peptidase C14, caspase domain"
IPR046529,12,7,Domain of unknown function DUF6594
IPR045136,1,1,Isoamyl acetate-hydrolyzing esterase Iah1-like
IPR006941,2,1,Ribonuclease CAF1
IPR012337,28,29,Ribonuclease H-like superfamily
IPR036397,26,27,Ribonuclease H superfamily
IPR016482,1,0,Protein transport protein SecG/Sec61-beta/Sbh
IPR030671,1,0,Protein transport Sec61-beta/Sbh
IPR001764,18,14,"Glycoside hydrolase, family 3, N-terminal"
IPR002772,15,13,Glycoside hydrolase family 3 C-terminal domain
IPR019800,6,5,"Glycoside hydrolase, family 3, active site"
IPR026891,13,13,Fibronectin type III-like domain
IPR036881,18,14,Glycoside hydrolase family 3 C-terminal domain superfamily
IPR036962,18,17,"Glycoside hydrolase, family 3, N-terminal domain superfamily"
IPR007704,1,1,GPI mannosyltransferase 1
IPR002848,2,2,Translin family
IPR016068,2,2,"Translin, N-terminal"
IPR016069,2,2,"Translin, C-terminal"
IPR036081,2,2,Translin superfamily
IPR002563,2,2,Flavin reductase like domain
IPR012349,11,6,FMN-binding split barrel
IPR003578,7,7,Small GTPase Rho
IPR037874,1,1,Cdc42
IPR010573,5,2,Major facilitator transporter Str1/Tri12-like
IPR006073,10,13,GTP binding domain
IPR016478,1,0,"GTPase, MTG1"
IPR023179,4,3,"GTP-binding protein, orthogonal bundle domain superfamily"
IPR003020,3,1,"Bicarbonate transporter, eukaryotic"
IPR011531,3,1,"Bicarbonate transporter-like, transmembrane domain"
IPR036812,29,27,NADP-dependent oxidoreductase domain superfamily
IPR001910,3,4,Inosine/uridine-preferring nucleoside hydrolase domain
IPR008758,3,2,Peptidase S28
IPR036452,8,5,Ribonucleoside hydrolase-like
IPR001077,11,28,O-methyltransferase domain
IPR016461,14,29,O-methyltransferase COMT-type
IPR036388,64,69,Winged helix-like DNA-binding domain superfamily
IPR036390,58,64,Winged helix DNA-binding domain superfamily
IPR003663,61,27,Sugar/inositol transporter
IPR005829,74,34,"Sugar transporter, conserved site"
IPR009075,12,11,Acyl-CoA dehydrogenase/oxidase C-terminal
IPR036250,15,12,"Acyl-CoA dehydrogenase-like, C-terminal"
IPR009100,14,12,"Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily"
IPR013786,11,7,"Acyl-CoA dehydrogenase/oxidase, N-terminal"
IPR037069,12,10,"Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily"
IPR046373,13,11,"Acyl-CoA oxidase/dehydrogenase, middle domain superfamily"
IPR011251,3,2,Luciferase-like domain
IPR016215,2,2,Nitrilotriacetate monooxygenase component A/pristinamycin IIA synthase subunit A
IPR036661,3,3,Luciferase-like domain superfamily
IPR018620,5,5,"Ubiquitin 3 binding protein But2, C-terminal"
